,MunicipalityNumber,MunicipalityName,Canton,Country,Scenario1_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarHeat_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarHeat_GWh,Factsheet,Methodology,PLZ4,%_IN_GDE,KTKZ,GDENR
0,1,Aeugst am Albis,Zürich,CH,13.43,8.7,4.72,18.06,13.33,4.72,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/1.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8914.0,100.0,ZH,1.0
1,2,Affoltern am Albis,Zürich,CH,50.06,33.83,18.63,69.25,53.02,18.63,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/2.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8909.0,14.34,ZH,2.0
3,3,Bonstetten,Zürich,CH,19.66,11.48,8.79,26.72,18.54,8.79,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/3.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8906.0,100.0,ZH,3.0
4,4,Hausen am Albis,Zürich,CH,23.67,15.7,8.38,32.61,24.64,8.38,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,6340.0,0.77,ZH,4.0
7,5,Hedingen,Zürich,CH,19.14,11.97,7.19,25.68,18.51,7.19,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/5.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8908.0,100.0,ZH,5.0
8,6,Kappel am Albis,Zürich,CH,9.47,6.5,2.88,12.45,9.48,2.88,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/6.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8926.0,100.0,ZH,6.0
9,7,Knonau,Zürich,CH,13.18,9.13,3.94,17.83,13.78,3.94,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/7.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8934.0,100.0,ZH,7.0
10,8,Maschwanden,Zürich,CH,6.12,4.12,1.81,7.94,5.94,1.81,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/8.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8933.0,100.0,ZH,8.0
11,9,Mettmenstetten,Zürich,CH,30.41,21.05,9.32,41.17,31.81,9.32,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/9.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8932.0,100.0,ZH,9.0
12,10,Obfelden,Zürich,CH,24.82,14.98,9.58,34.26,24.42,9.58,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/10.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8912.0,100.0,ZH,10.0
13,11,Ottenbach,Zürich,CH,15.96,9.71,5.99,21.53,15.28,5.99,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/11.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,8913.0,100.0,ZH,11.0
