,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
0,1669622809-189,https://www.autolina.ch/elektro-auto,49'650,8640,,231.0,silber,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
1,1669622809-190,https://www.autolina.ch/elektro-auto,42'500,6464,2022.0,204.0,weiss,6464.0,0.36,UR,1205.0,Bürglen (UR),11506.0,UR,400.0,Kt. Uri,1205,Bürglen (UR),1848-09-12
2,1669622809-191,https://www.autolina.ch/elektro-auto,70'200,8807,,325.0,weiss,8807.0,18.75,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
3,1669622809-192,https://www.autolina.ch/elektro-auto,44'900,1184,2019.0,513.0,weiss,1184.0,100.0,VD,5858.0,Luins,14638.0,VD,2228.0,Nyon,5858,Luins,2006-09-01
4,1669622809-193,https://www.autolina.ch/elektro-auto,68'990,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
5,1669622809-194,https://www.autolina.ch/elektro-auto,69'470,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
6,1669622809-195,https://www.autolina.ch/elektro-auto,68'520,1920,,408.0,sonstiges,1920.0,95.44,VS,6136.0,Martigny,16602.0,VS,2307.0,Martigny,6136,Martigny,2021-01-01
7,1669622809-196,https://www.autolina.ch/elektro-auto,36'990,1720,,118.0,sonstiges,1720.0,0.15,FR,2175.0,Belfaux,15676.0,FR,1004.0,La Sarine,2175,Belfaux,2016-01-01
8,1669622809-197,https://www.autolina.ch/elektro-auto,57'310,1716,,204.0,weiss,1716.0,0.95,FR,2138.0,Jaun,12668.0,FR,1003.0,La Gruyère,2138,Jaun,1848-09-12
9,1669622809-198,https://www.autolina.ch/elektro-auto,26'450,6440,2020.0,145.0,grau,6440.0,99.54,SZ,1364.0,Ingenbohl,12657.0,SZ,506.0,Schwyz,1364,Ingenbohl,1848-09-12
10,1669622809-199,https://www.autolina.ch/elektro-auto,43'899,8580,2017.0,525.0,blau,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
11,1669622809-200,https://www.autolina.ch/elektro-auto,96'699,8580,2021.0,573.0,weiss,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
12,1669622809-201,https://www.autolina.ch/elektro-auto,39'799,8580,2019.0,476.0,blau,8580.0,0.51,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
13,1669622809-202,https://www.autolina.ch/elektro-auto,38'000,2300,,136.0,sonstiges,2300.0,97.68,NE,6421.0,La Chaux-de-Fonds,16095.0,NE,2400.0,Cant. de Neuchâtel,6421,La Chaux-de-Fonds,2018-01-01
14,1669622809-203,https://www.autolina.ch/elektro-auto,38'800,1530,,146.0,grau,1530.0,93.43,VD,5822.0,Payerne,14560.0,VD,2222.0,Broye-Vully,5822,Payerne,2006-09-01
15,1669622809-204,https://www.autolina.ch/elektro-auto,38'900,5312,2015.0,387.0,schwarz,5312.0,100.0,AG,4304.0,Döttingen,12210.0,AG,1911.0,Zurzach,4304,Döttingen,1848-09-12
16,1669622809-205,https://www.autolina.ch/elektro-auto,42'000,1009,2020.0,489.0,schwarz,1009.0,97.91,VD,5590.0,Pully,14574.0,VD,2226.0,Lavaux-Oron,5590,Pully,2006-09-01
17,1669622809-206,https://www.autolina.ch/elektro-auto,42'000,8962,2022.0,204.0,silber,8962.0,99.89,AG,4023.0,Bergdietikon,11856.0,AG,1902.0,Baden,4023,Bergdietikon,1848-09-12
18,1669622809-207,https://www.autolina.ch/elektro-auto,43'500,6234,2017.0,524.0,blau,6234.0,74.49,LU,1104.0,Triengen,15599.0,LU,314.0,Sursee,1104,Triengen,2013-01-01
19,1669622809-208,https://www.autolina.ch/elektro-auto,46'900,8610,2020.0,497.0,grau,8610.0,78.4,ZH,198.0,Uster,10940.0,ZH,109.0,Uster,198,Uster,1848-09-12
20,1669622809-209,https://www.autolina.ch/elektro-auto,69'700,8640,,371.0,schwarz,8640.0,3.91,SZ,1322.0,Freienbach,11961.0,SZ,503.0,Höfe,1322,Freienbach,1848-09-12
