,Unnamed: 0,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
0,0,6340.0,97,6340.0,0.77,ZH,4.0,Hausen am Albis
1,2,6300.0,53,6300.0,0.49,ZG,1701.0,Baar
2,3,9015.0,51,9015.0,5.65,SG,3203.0,St. Gallen
3,4,6010.0,49,6010.0,83.38,LU,1059.0,Kriens
4,5,4900.0,42,4900.0,98.04,BE,329.0,Langenthal
5,6,1219.0,41,1219.0,51.74,GE,6643.0,Vernier
6,7,1290.0,40,1290.0,100.0,VD,5708.0,Chavannes-des-Bois
7,8,8952.0,38,8952.0,0.68,ZH,243.0,Dietikon
8,9,9000.0,38,9000.0,46.21,SG,3203.0,St. Gallen
9,10,3600.0,34,3600.0,0.17,BE,929.0,Hilterfingen
10,11,5745.0,34,5745.0,100.0,AG,4283.0,Safenwil
11,12,8134.0,34,8134.0,100.0,ZH,131.0,Adliswil
12,13,8953.0,33,8953.0,99.32,ZH,243.0,Dietikon
13,14,9500.0,31,9500.0,1.07,SG,3392.0,Kirchberg (SG)
14,15,8610.0,31,8610.0,78.4,ZH,198.0,Uster
15,16,1215.0,31,1215.0,2.38,GE,6623.0,Le Grand-Saconnex
16,17,6467.0,29,6467.0,91.12,UR,1213.0,Schattdorf
17,18,1920.0,28,1920.0,95.44,VS,6136.0,Martigny
18,19,7500.0,28,7500.0,1.04,GR,3782.0,Celerina/Schlarigna
19,20,7304.0,27,7304.0,1.26,GR,3951.0,Fläsch
20,21,2504.0,27,2504.0,29.47,BE,371.0,Biel/Bienne
21,22,4665.0,26,4665.0,0.19,AG,4271.0,Aarburg
22,23,7000.0,25,7000.0,100.0,GR,3901.0,Chur
23,24,4147.0,25,4147.0,99.83,BL,2761.0,Aesch (BL)
24,25,8957.0,25,8957.0,99.52,AG,4040.0,Spreitenbach
25,26,1227.0,24,1227.0,99.88,GE,6608.0,Carouge (GE)
26,27,1470.0,24,1470.0,99.7,FR,2025.0,Lully (FR)
27,28,6370.0,24,6370.0,62.44,NW,1508.0,Oberdorf (NW)
28,29,4133.0,23,4133.0,3.63,BL,2770.0,Muttenz
29,30,4600.0,23,4600.0,0.07,SO,2500.0,Trimbach
30,31,8200.0,21,8200.0,1.04,SH,2937.0,Neuhausen am Rheinfall
31,32,1530.0,21,1530.0,93.43,VD,5822.0,Payerne
32,33,3072.0,21,3072.0,0.06,BE,351.0,Bern
33,34,7504.0,21,7504.0,1.5,GR,3782.0,Celerina/Schlarigna
34,35,8500.0,21,8500.0,0.35,ZH,220.0,Hagenbuch
35,36,9200.0,21,9200.0,0.48,SG,3402.0,Flawil
36,37,3800.0,21,3800.0,9.01,BE,571.0,Beatenberg
37,38,3250.0,20,3250.0,0.11,BE,301.0,Aarberg
38,39,8910.0,20,8910.0,85.66,ZH,2.0,Affoltern am Albis
39,40,6006.0,20,6006.0,0.05,LU,1054.0,Ebikon
40,41,8404.0,20,8404.0,17.4,ZH,230.0,Winterthur
41,42,6023.0,20,6023.0,0.03,LU,1024.0,Emmen
42,43,3421.0,20,3421.0,100.0,BE,415.0,Lyssach
43,44,3012.0,19,3012.0,9.97,BE,351.0,Bern
44,45,9470.0,19,9470.0,99.88,SG,3271.0,Buchs (SG)
45,46,1030.0,19,1030.0,100.0,VD,5624.0,Bussigny
46,47,3715.0,19,3715.0,99.78,BE,561.0,Adelboden
47,48,9016.0,19,9016.0,10.18,SG,3203.0,St. Gallen
48,49,8400.0,19,8400.0,38.24,ZH,230.0,Winterthur
49,50,1950.0,19,1950.0,0.83,VS,6263.0,Grimisuat
50,51,8604.0,19,8604.0,84.11,ZH,199.0,Volketswil
51,52,1213.0,18,1213.0,0.14,GE,6621.0,Genève
52,53,1630.0,18,1630.0,73.16,FR,2125.0,Bulle
53,54,8867.0,18,8867.0,17.62,GL,1630.0,Glarus Nord
54,55,4622.0,18,4622.0,100.0,SO,2401.0,Egerkingen
55,56,5618.0,18,5618.0,0.45,AG,4076.0,Sarmenstorf
56,57,8280.0,17,8280.0,0.13,TG,4643.0,Bottighofen
57,58,1700.0,17,1700.0,94.67,FR,2196.0,Fribourg
58,59,3014.0,17,3014.0,9.49,BE,351.0,Bern
59,60,8207.0,17,8207.0,12.03,SH,2939.0,Schaffhausen
60,61,6815.0,16,6815.0,100.0,TI,5198.0,Melide
61,62,3113.0,16,3113.0,98.75,BE,623.0,Rubigen
62,63,8472.0,16,8472.0,100.0,ZH,227.0,Seuzach
63,64,1723.0,16,1723.0,99.93,FR,2206.0,Marly
64,65,7270.0,15,7270.0,37.16,GR,3851.0,Davos
65,66,6330.0,15,6330.0,77.51,ZG,1702.0,Cham
66,67,7323.0,15,7323.0,54.38,SG,3297.0,Vilters-Wangs
67,68,4528.0,15,4528.0,1.3,SO,2513.0,Biberist
68,69,8310.0,15,8310.0,26.41,ZH,176.0,Lindau
69,70,7260.0,15,7260.0,28.5,GR,3851.0,Davos
70,71,8570.0,15,8570.0,1.96,TG,4891.0,Berg (TG)
71,72,3018.0,14,3018.0,11.61,BE,351.0,Bern
72,73,7550.0,14,7550.0,32.87,GR,3762.0,Scuol
73,74,8184.0,14,8184.0,100.0,ZH,51.0,Bachenbülach
74,75,5242.0,14,5242.0,100.0,AG,4092.0,Birr
75,76,6776.0,14,6776.0,37.19,TI,5079.0,Quinto
76,77,9630.0,14,9630.0,1.19,SG,3378.0,Neckertal
77,78,8887.0,14,8887.0,57.85,SG,3293.0,Mels
78,79,4566.0,14,4566.0,100.0,SO,2520.0,Halten
79,80,8274.0,14,8274.0,100.0,TG,4651.0,Gottlieben
80,81,8620.0,14,8620.0,67.37,ZH,121.0,Wetzikon (ZH)
81,82,1201.0,13,1201.0,13.8,GE,6621.0,Genève
82,83,6033.0,13,6033.0,89.76,LU,1052.0,Buchrain
83,84,6210.0,13,6210.0,36.8,LU,1091.0,Mauensee
84,85,3110.0,13,3110.0,89.94,BE,616.0,Münsingen
85,86,4954.0,13,4954.0,0.12,BE,957.0,Sumiswald
86,87,3792.0,13,3792.0,21.63,BE,843.0,Saanen
87,88,8212.0,13,8212.0,8.33,ZH,34.0,Laufen-Uhwiesen
88,89,6005.0,13,6005.0,13.34,LU,1058.0,Horw
89,90,5630.0,13,5630.0,0.88,AG,4222.0,Aristau
90,91,3063.0,13,3063.0,0.02,BE,351.0,Bern
91,92,4702.0,13,4702.0,99.6,SO,2407.0,Oensingen
92,93,4053.0,13,4053.0,9.42,BS,2701.0,Basel
93,94,5000.0,13,5000.0,81.01,AG,4001.0,Aarau
94,95,8330.0,13,8330.0,89.57,ZH,177.0,Pfäffikon
95,96,8048.0,12,8048.0,5.92,ZH,261.0,Zürich
96,97,4322.0,12,4322.0,100.0,AG,4255.0,Mumpf
97,98,9424.0,12,9424.0,99.64,SG,3235.0,Rheineck
98,99,4502.0,12,,,,,
99,100,6280.0,12,6280.0,91.83,LU,1031.0,Hochdorf
100,101,6500.0,12,6500.0,23.64,TI,5002.0,Bellinzona
101,102,8912.0,12,8912.0,100.0,ZH,10.0,Obfelden
102,103,4142.0,12,4142.0,98.68,BL,2769.0,Münchenstein
103,104,3001.0,12,,,,,
104,105,4500.0,12,4500.0,4.95,SO,2513.0,Biberist
105,106,4617.0,12,4617.0,98.72,SO,2578.0,Gunzgen
106,107,6018.0,12,6018.0,99.75,LU,1083.0,Buttisholz
107,108,4132.0,12,4132.0,89.61,BL,2770.0,Muttenz
108,109,8050.0,11,8050.0,7.02,ZH,261.0,Zürich
109,110,3280.0,11,3280.0,10.48,FR,2250.0,Courgevaux
110,111,2540.0,11,2540.0,100.0,SO,2546.0,Grenchen
111,112,8750.0,10,8750.0,0.18,SZ,1367.0,Muotathal
112,113,6430.0,10,6430.0,0.32,SZ,1361.0,Alpthal
113,114,9230.0,10,9230.0,0.61,SG,3401.0,Degersheim
114,115,3900.0,10,3900.0,47.77,VS,6002.0,Brig-Glis
115,116,9001.0,10,,,,,
116,117,4058.0,10,4058.0,15.84,BS,2701.0,Basel
117,118,4456.0,10,4456.0,98.96,BL,2863.0,Tenniken
118,119,1183.0,10,1183.0,95.52,VD,5853.0,Bursins
119,120,1212.0,10,1212.0,0.12,GE,6608.0,Carouge (GE)
120,121,3015.0,10,3015.0,0.3,BE,351.0,Bern
121,122,1226.0,10,1226.0,100.0,GE,6640.0,Thônex
122,123,8600.0,10,8600.0,0.2,ZH,54.0,Dietlikon
123,124,6648.0,10,6648.0,78.21,TI,5118.0,Minusio
124,125,9400.0,10,9400.0,0.12,SG,3213.0,Goldach
125,126,3013.0,10,3013.0,6.57,BE,351.0,Bern
126,127,2525.0,10,2525.0,2.56,BE,494.0,Gals
127,128,2900.0,10,2900.0,100.0,JU,6800.0,Porrentruy
128,129,3860.0,10,3860.0,91.72,BE,785.0,Meiringen
129,130,6850.0,10,6850.0,0.98,TI,5249.0,Castel San Pietro
130,131,5600.0,10,5600.0,100.0,AG,4191.0,Ammerswil
131,132,3006.0,10,3006.0,17.41,BE,351.0,Bern
132,133,1957.0,10,1957.0,100.0,VS,6021.0,Ardon
133,134,8340.0,10,8340.0,0.4,ZH,111.0,Bäretswil
134,135,4052.0,10,4052.0,11.22,BS,2701.0,Basel
135,136,8718.0,10,8718.0,69.02,SG,3315.0,Schänis
136,137,8700.0,9,8700.0,90.54,ZH,154.0,Küsnacht (ZH)
137,138,9320.0,9,9320.0,100.0,TG,4401.0,Arbon
138,139,9487.0,9,,,,,
139,140,2555.0,9,2555.0,98.89,BE,733.0,Brügg
140,141,4543.0,9,4543.0,98.94,SO,2516.0,Deitingen
141,142,6204.0,9,6204.0,1.55,LU,1093.0,Neuenkirch
142,143,3645.0,9,3645.0,6.85,BE,768.0,Spiez
143,144,8005.0,9,8005.0,2.86,ZH,261.0,Zürich
144,145,8305.0,9,8305.0,99.8,ZH,54.0,Dietlikon
145,146,6030.0,9,6030.0,0.15,LU,1051.0,Adligenswil
146,147,6214.0,9,6214.0,0.45,LU,1084.0,Eich
147,148,2542.0,9,2542.0,100.0,BE,392.0,Pieterlen
148,149,6312.0,9,6312.0,0.03,ZG,1701.0,Baar
149,150,8754.0,9,8754.0,0.02,GL,1630.0,Glarus Nord
150,151,6343.0,9,6343.0,100.0,ZG,1707.0,Risch
151,152,8152.0,8,8152.0,0.08,ZH,62.0,Kloten
152,153,6375.0,8,6375.0,97.51,NW,1501.0,Beckenried
153,154,6205.0,8,6205.0,99.55,LU,1084.0,Eich
154,155,72.0,8,,,,,
155,156,1218.0,8,1218.0,0.01,GE,6621.0,Genève
156,157,6814.0,8,6814.0,100.0,TI,5162.0,Cadempino
157,158,1680.0,8,1680.0,26.99,FR,2087.0,Mézières (FR)
158,159,9014.0,8,9014.0,0.58,AR,3005.0,Stein (AR)
159,160,9300.0,8,9300.0,0.04,SG,3203.0,St. Gallen
160,161,3780.0,8,3780.0,40.78,BE,843.0,Saanen
161,162,2000.0,8,2000.0,0.05,NE,6416.0,Milvignes
162,163,1663.0,8,1663.0,96.31,FR,2135.0,Gruyères
163,164,6032.0,8,6032.0,26.5,LU,1024.0,Emmen
164,165,3123.0,8,3123.0,92.3,BE,861.0,Belp
165,166,7430.0,8,7430.0,82.38,GR,3668.0,Thusis
166,167,8712.0,8,8712.0,74.77,ZH,158.0,Stäfa
167,168,1752.0,8,1752.0,100.0,FR,2228.0,Villars-sur-Glâne
168,169,3940.0,8,3940.0,0.66,VS,6198.0,Niedergesteln
169,170,6513.0,8,6513.0,8.03,TI,5002.0,Bellinzona
170,171,8800.0,8,8800.0,87.8,ZH,141.0,Thalwil
171,172,1252.0,8,1252.0,100.0,GE,6629.0,Meinier
172,173,94.0,8,,,,,
173,174,4123.0,8,4123.0,100.0,BL,2762.0,Allschwil
174,175,76.0,8,,,,,
175,176,7302.0,8,7302.0,0.91,GR,3947.0,Zizers
176,177,3053.0,8,3053.0,19.87,BE,310.0,Rapperswil (BE)
177,178,90.0,8,,,,,
178,179,7320.0,8,7320.0,99.72,SG,3296.0,Sargans
179,180,7075.0,8,7075.0,39.39,GR,3911.0,Churwalden
180,181,3700.0,8,3700.0,60.85,BE,768.0,Spiez
181,182,9450.0,8,9450.0,0.09,AR,3022.0,Gais
182,183,6020.0,8,6020.0,72.91,LU,1024.0,Emmen
183,184,1728.0,8,1728.0,18.37,FR,2236.0,Gibloux
184,185,8645.0,8,8645.0,67.43,SG,3340.0,Rapperswil-Jona
185,186,7188.0,8,7188.0,52.67,GR,3986.0,Tujetsch
186,187,1242.0,8,1242.0,92.75,GE,6638.0,Satigny
187,188,1020.0,7,1020.0,99.94,VD,5591.0,Renens (VD)
188,189,8304.0,7,8304.0,100.0,ZH,69.0,Wallisellen
189,190,3770.0,7,3770.0,0.77,BE,791.0,Boltigen
190,191,7513.0,7,7513.0,79.38,GR,3790.0,Silvaplana
191,192,8630.0,7,8630.0,99.85,ZH,118.0,Rüti (ZH)
192,193,71.0,7,,,,,
193,194,1205.0,7,1205.0,16.08,GE,6621.0,Genève
194,195,9495.0,7,,,,,
195,196,6130.0,7,6130.0,1.18,LU,1132.0,Hergiswil bei Willisau
196,197,1091.0,7,1091.0,0.68,VD,5604.0,Forel (Lavaux)
197,198,2016.0,7,2016.0,99.8,NE,6408.0,Cortaillod
198,199,4153.0,7,4153.0,0.14,BL,2761.0,Aesch (BL)
199,200,6060.0,7,6060.0,52.04,OW,1407.0,Sarnen
200,201,6015.0,7,6015.0,8.6,LU,1061.0,Luzern
201,202,1260.0,7,1260.0,100.0,VD,5724.0,Nyon
202,203,9403.0,7,9403.0,99.83,SG,3213.0,Goldach
203,204,5610.0,7,5610.0,0.54,AG,4080.0,Villmergen
204,205,5200.0,7,5200.0,84.3,AG,4095.0,Brugg
