,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
0,6340.0,97.0,6340.0,0.77,ZH,4.0,Hausen am Albis
1,6340.0,97.0,6340.0,0.04,ZH,295.0,Horgen
2,6340.0,97.0,6340.0,90.32,ZG,1701.0,Baar
3,6340.0,97.0,6340.0,2.72,ZG,1705.0,Neuheim
4,6300.0,53.0,6300.0,0.49,ZG,1701.0,Baar
5,6300.0,53.0,6300.0,89.86,ZG,1711.0,Zug
6,9015.0,51.0,9015.0,5.65,SG,3203.0,St. Gallen
7,9015.0,51.0,9015.0,0.86,SG,3443.0,Gossau (SG)
8,6010.0,49.0,6010.0,83.38,LU,1059.0,Kriens
9,6010.0,49.0,6010.0,0.21,OW,1401.0,Alpnach
10,6010.0,49.0,6010.0,0.1,NW,1507.0,Hergiswil (NW)
11,4900.0,42.0,4900.0,98.04,BE,329.0,Langenthal
12,1219.0,41.0,1219.0,51.74,GE,6643.0,Vernier
13,1290.0,40.0,1290.0,100.0,VD,5708.0,Chavannes-des-Bois
14,1290.0,40.0,1290.0,0.68,VD,5723.0,Mies
15,1290.0,40.0,1290.0,10.11,GE,6615.0,Collex-Bossy
16,1290.0,40.0,1290.0,0.12,GE,6622.0,Genthod
17,1290.0,40.0,1290.0,100.0,GE,6644.0,Versoix
18,8952.0,38.0,8952.0,0.68,ZH,243.0,Dietikon
19,8952.0,38.0,8952.0,98.75,ZH,247.0,Schlieren
20,8952.0,38.0,8952.0,1.37,ZH,249.0,Unterengstringen
21,8952.0,38.0,8952.0,0.02,ZH,261.0,Zürich
22,9000.0,38.0,9000.0,46.21,SG,3203.0,St. Gallen
23,3600.0,34.0,3600.0,0.17,BE,929.0,Hilterfingen
24,3600.0,34.0,3600.0,38.93,BE,942.0,Thun
25,5745.0,34.0,5745.0,100.0,AG,4283.0,Safenwil
26,8134.0,34.0,8134.0,100.0,ZH,131.0,Adliswil
27,8134.0,34.0,8134.0,0.0,ZH,261.0,Zürich
28,8953.0,33.0,8953.0,99.32,ZH,243.0,Dietikon
29,8953.0,33.0,8953.0,0.48,AG,4040.0,Spreitenbach
30,9500.0,31.0,9500.0,1.07,SG,3392.0,Kirchberg (SG)
31,9500.0,31.0,9500.0,0.14,SG,3426.0,Zuzwil (SG)
