Hist-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
13256,ZH,101,Affoltern,1,Aeugst am Albis,1976-11-15
11742,ZH,101,Affoltern,2,Affoltern am Albis,1848-09-12
11801,ZH,101,Affoltern,3,Bonstetten,1848-09-12
11992,ZH,101,Affoltern,4,Hausen am Albis,1911-01-01
12249,ZH,101,Affoltern,5,Hedingen,1848-09-12
12671,ZH,101,Affoltern,6,Kappel am Albis,1911-01-01
12674,ZH,101,Affoltern,7,Knonau,1848-09-12
12738,ZH,101,Affoltern,8,Maschwanden,1848-09-12
12433,ZH,101,Affoltern,9,Mettmenstetten,1848-09-12
12497,ZH,101,Affoltern,10,Obfelden,1848-09-12
13124,ZH,101,Affoltern,11,Ottenbach,1848-09-12
12891,ZH,101,Affoltern,12,Rifferswil,1848-09-12
10575,ZH,101,Affoltern,13,Stallikon,1848-09-12
13255,ZH,101,Affoltern,14,Wettswil am Albis,1976-11-15
11735,ZH,102,Andelfingen,21,Adlikon,1872-01-01
11862,ZH,102,Andelfingen,22,Benken ZH,1848-09-12
11855,ZH,102,Andelfingen,23,Berg am Irchel,1848-09-12
15513,ZH,102,Andelfingen,24,Buch am Irchel,2013-01-01
11573,ZH,102,Andelfingen,25,Dachsen,1848-09-12
12182,ZH,102,Andelfingen,26,Dorf,1848-09-12
11973,ZH,102,Andelfingen,27,Feuerthalen,1848-09-12
11997,ZH,102,Andelfingen,28,Flaach,1848-09-12
11935,ZH,102,Andelfingen,29,Flurlingen,1848-09-12
13214,ZH,102,Andelfingen,30,Andelfingen,1970-01-01
12240,ZH,102,Andelfingen,31,Henggart,1848-09-12
12173,ZH,102,Andelfingen,32,Humlikon,1872-01-01
12699,ZH,102,Andelfingen,33,Kleinandelfingen,1848-09-12
12635,ZH,102,Andelfingen,34,Laufen-Uhwiesen,1848-09-12
12742,ZH,102,Andelfingen,35,Marthalen,1848-09-12
13128,ZH,102,Andelfingen,37,Ossingen,1848-09-12
12912,ZH,102,Andelfingen,38,Rheinau,1848-09-12
10563,ZH,102,Andelfingen,39,Thalheim an der Thur,1878-01-01
10898,ZH,102,Andelfingen,40,Trüllikon,1879-01-01
10899,ZH,102,Andelfingen,41,Truttikon,1879-01-01
10365,ZH,102,Andelfingen,43,Volken,1848-09-12
11683,ZH,103,Bülach,51,Bachenbülach,1848-09-12
11685,ZH,103,Bülach,52,Bassersdorf,1848-09-12
11461,ZH,103,Bülach,53,Bülach,1848-09-12
11563,ZH,103,Bülach,54,Dietlikon,1848-09-12
12168,ZH,103,Bülach,55,Eglisau,1848-09-12
12292,ZH,103,Bülach,56,Embrach,1931-01-01
11960,ZH,103,Bülach,57,Freienstein-Teufen,1958-01-01
12056,ZH,103,Bülach,58,Glattfelden,1848-09-12
12166,ZH,103,Bülach,59,Hochfelden,1848-09-12
12220,ZH,103,Bülach,60,Hüri,1848-09-12
12178,ZH,103,Bülach,61,Hüntwangen,1848-09-12
