PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
8914,100,ZH,1,Aeugst am Albis
8909,14.34,ZH,2,Affoltern am Albis
8910,85.66,ZH,2,Affoltern am Albis
8906,100,ZH,3,Bonstetten
6340,0.77,ZH,4,Hausen am Albis
8915,72.06,ZH,4,Hausen am Albis
8925,27.17,ZH,4,Hausen am Albis
8908,100,ZH,5,Hedingen
8926,100,ZH,6,Kappel am Albis
8934,100,ZH,7,Knonau
8933,100,ZH,8,Maschwanden
8932,100,ZH,9,Mettmenstetten
8912,100,ZH,10,Obfelden
8913,100,ZH,11,Ottenbach
8911,100,ZH,12,Rifferswil
8143,100,ZH,13,Stallikon
8907,100,ZH,14,Wettswil am Albis
8452,100,ZH,21,Adlikon
8463,100,ZH,22,Benken (ZH)
8415,100,ZH,23,Berg am Irchel
8414,100,ZH,24,Buch am Irchel
8447,100,ZH,25,Dachsen
8458,100,ZH,26,Dorf
8245,71.31,ZH,27,Feuerthalen
8246,28.69,ZH,27,Feuerthalen
8416,100,ZH,28,Flaach
8247,100,ZH,29,Flurlingen
8450,100,ZH,30,Andelfingen
8444,100,ZH,31,Henggart
8457,100,ZH,32,Humlikon
8451,59.3,ZH,33,Kleinandelfingen
8453,19.64,ZH,33,Kleinandelfingen
8461,21.07,ZH,33,Kleinandelfingen
8212,8.33,ZH,34,Laufen-Uhwiesen
8248,89.58,ZH,34,Laufen-Uhwiesen
8447,2.08,ZH,34,Laufen-Uhwiesen
8460,93.11,ZH,35,Marthalen
8464,6.89,ZH,35,Marthalen
8466,0.37,ZH,37,Ossingen
8475,99.63,ZH,37,Ossingen
8462,99.72,ZH,38,Rheinau
8464,0.28,ZH,38,Rheinau
8478,100,ZH,39,Thalheim an der Thur
8465,38.96,ZH,40,Trüllikon
8466,61.04,ZH,40,Trüllikon
8467,100,ZH,41,Truttikon
8459,100,ZH,43,Volken
8184,100,ZH,51,Bachenbülach
8303,100,ZH,52,Bassersdorf
8180,100,ZH,53,Bülach
8305,99.8,ZH,54,Dietlikon
8600,0.2,ZH,54,Dietlikon
8193,99.92,ZH,55,Eglisau
8197,0.08,ZH,55,Eglisau
8424,99.94,ZH,56,Embrach
8427,0.06,ZH,56,Embrach
8427,73.94,ZH,57,Freienstein-Teufen
8428,26.06,ZH,57,Freienstein-Teufen
8180,0.09,ZH,58,Glattfelden
8192,99.83,ZH,58,Glattfelden
8193,0.09,ZH,58,Glattfelden
8182,99.37,ZH,59,Hochfelden
8192,0.63,ZH,59,Hochfelden
8181,100,ZH,60,Höri
8194,100,ZH,61,Hüntwangen
8152,0.08,ZH,62,Kloten
8302,99.62,ZH,62,Kloten
8309,0.3,ZH,62,Kloten
8426,100,ZH,63,Lufingen
8309,100,ZH,64,Nürensdorf
8425,100,ZH,65,Oberembrach
8052,0.05,ZH,66,Opfikon
8152,99.95,ZH,66,Opfikon
8197,100,ZH,67,Rafz
8427,99.85,ZH,68,Rorbas
8428,0.15,ZH,68,Rorbas
8304,100,ZH,69,Wallisellen
8195,99.49,ZH,70,Wasterkingen
8196,0.51,ZH,70,Wasterkingen
8196,100,ZH,71,Wil (ZH)
8180,0.16,ZH,72,Winkel
8185,99.84,ZH,72,Winkel
8164,100,ZH,81,Bachs
8113,100,ZH,82,Boppelsen
8107,100,ZH,83,Buchs (ZH)
8108,100,ZH,84,Dällikon
8114,100,ZH,85,Dänikon
8157,100,ZH,86,Dielsdorf
8115,100,ZH,87,Hüttikon
8162,0.25,ZH,88,Neerach
8164,0.12,ZH,88,Neerach
8173,99.39,ZH,88,Neerach
8174,0.25,ZH,88,Neerach
8172,100,ZH,89,Niederglatt
8155,64.82,ZH,90,Niederhasli
8156,35.18,ZH,90,Niederhasli
8166,100,ZH,91,Niederweningen
8154,100,ZH,92,Oberglatt
5462,1.42,ZH,93,Oberweningen
8165,98.58,ZH,93,Oberweningen
8107,0.11,ZH,94,Otelfingen
8112,99.89,ZH,94,Otelfingen
8158,100,ZH,95,Regensberg
8105,81.64,ZH,96,Regensdorf
8106,18.36,ZH,96,Regensdorf
8052,0.69,ZH,97,Rümlang
8152,2.13,ZH,97,Rümlang
8153,97.18,ZH,97,Rümlang
8165,100,ZH,98,Schleinikon
8165,100,ZH,99,Schöfflisdorf
8174,61.73,ZH,100,Stadel
8175,38.27,ZH,100,Stadel
8155,0.5,ZH,101,Steinmaur
8162,99.5,ZH,101,Steinmaur
8187,100,ZH,102,Weiach
8340,0.4,ZH,111,Bäretswil
8344,74.82,ZH,111,Bäretswil
8345,19.91,ZH,111,Bäretswil
8498,4.88,ZH,111,Bäretswil
8608,47.98,ZH,112,Bubikon
8633,52.02,ZH,112,Bubikon
8340,0.27,ZH,113,Dürnten
8608,0.16,ZH,113,Dürnten
8632,36.49,ZH,113,Dürnten
8635,62.97,ZH,113,Dürnten
8636,0.12,ZH,113,Dürnten
8494,0.17,ZH,114,Fischenthal
8496,44.77,ZH,114,Fischenthal
8497,34.32,ZH,114,Fischenthal
8498,20.74,ZH,114,Fischenthal
8614,15.23,ZH,115,Gossau (ZH)
8617,0.16,ZH,115,Gossau (ZH)
8624,24.66,ZH,115,Gossau (ZH)
8625,41.97,ZH,115,Gossau (ZH)
8626,17.95,ZH,115,Gossau (ZH)
8627,0.04,ZH,115,Gossau (ZH)
8627,100,ZH,116,Grüningen
8340,86.38,ZH,117,Hinwil
8342,12.93,ZH,117,Hinwil
8498,0.69,ZH,117,Hinwil
8630,99.85,ZH,118,Rüti (ZH)
8636,0.15,ZH,118,Rüti (ZH)
8607,100,ZH,119,Seegräben
8636,82.5,ZH,120,Wald (ZH)
8637,17.5,ZH,120,Wald (ZH)
8340,0.04,ZH,121,Wetzikon (ZH)
8345,0.14,ZH,121,Wetzikon (ZH)
8620,67.37,ZH,121,Wetzikon (ZH)
8623,32.41,ZH,121,Wetzikon (ZH)
8624,0.04,ZH,121,Wetzikon (ZH)
8134,100,ZH,131,Adliswil
8802,99.93,ZH,135,Kilchberg (ZH)
8803,0.07,ZH,135,Kilchberg (ZH)
8135,100,ZH,136,Langnau am Albis
8942,100,ZH,137,Oberrieden
8805,74.76,ZH,138,Richterswil
8833,25.24,ZH,138,Richterswil
8803,100,ZH,139,Rüschlikon
8136,12.2,ZH,141,Thalwil
8800,87.8,ZH,141,Thalwil
8703,100,ZH,151,Erlenbach (ZH)
8703,0.1,ZH,152,Herrliberg
8704,99.9,ZH,152,Herrliberg
8627,0.03,ZH,153,Hombrechtikon
8634,86.14,ZH,153,Hombrechtikon
8714,13.83,ZH,153,Hombrechtikon
8127,9.46,ZH,154,Küsnacht (ZH)
8700,90.54,ZH,154,Küsnacht (ZH)
8708,100,ZH,155,Männedorf
8706,100,ZH,156,Meilen
8618,100,ZH,157,Oetwil am See
8712,74.77,ZH,158,Stäfa
8713,25.23,ZH,158,Stäfa
8707,100,ZH,159,Uetikon am See
8126,100,ZH,160,Zumikon
8125,31.64,ZH,161,Zollikon
8702,68.36,ZH,161,Zollikon
8308,0.76,ZH,172,Fehraltorf
8320,99.24,ZH,172,Fehraltorf
8335,100,ZH,173,Hittnau
8310,26.41,ZH,176,Lindau
8312,22.7,ZH,176,Lindau
8315,20.14,ZH,176,Lindau
8317,30.75,ZH,176,Lindau
8330,89.57,ZH,177,Pfäffikon
8331,10.33,ZH,177,Pfäffikon
8623,0.09,ZH,177,Pfäffikon
8322,25.77,ZH,178,Russikon
8332,74.23,ZH,178,Russikon
8308,0.2,ZH,180,Weisslingen
8484,98.82,ZH,180,Weisslingen
8486,0.98,ZH,180,Weisslingen
8492,95.94,ZH,181,Wila
8493,4.06,ZH,181,Wila
8322,0.34,ZH,182,Wildberg
8488,0.51,ZH,182,Wildberg
8489,99.15,ZH,182,Wildberg
8044,15.03,ZH,191,Dübendorf
8051,0.23,ZH,191,Dübendorf
8304,0.13,ZH,191,Dübendorf
8600,84.6,ZH,191,Dübendorf
8603,0.03,ZH,191,Dübendorf
8127,0.65,ZH,192,Egg
8132,74.05,ZH,192,Egg
8133,25.31,ZH,192,Egg
8117,50.13,ZH,193,Fällanden
8118,29.63,ZH,193,Fällanden
8121,20.23,ZH,193,Fällanden
8606,100,ZH,194,Greifensee
8122,13.74,ZH,195,Maur
8123,29.28,ZH,195,Maur
8124,25.61,ZH,195,Maur
8127,30.66,ZH,195,Maur
8132,0.71,ZH,195,Maur
8607,2.08,ZH,196,Mönchaltorf
8617,97.92,ZH,196,Mönchaltorf
8600,0.86,ZH,197,Schwerzenbach
8603,99.14,ZH,197,Schwerzenbach
8606,9.03,ZH,198,Uster
8610,78.4,ZH,198,Uster
8614,2.82,ZH,198,Uster
8615,7.02,ZH,198,Uster
8616,2.71,ZH,198,Uster
8617,0.02,ZH,198,Uster
8307,0.03,ZH,199,Volketswil
8604,84.11,ZH,199,Volketswil
8605,15.86,ZH,199,Volketswil
8306,49.8,ZH,200,Wangen-Brüttisellen
8602,50.2,ZH,200,Wangen-Brüttisellen
8479,100,ZH,211,Altikon
8311,100,ZH,213,Brütten
8471,100,ZH,214,Dägerlen
8421,100,ZH,215,Dättlikon
8474,100,ZH,216,Dinhard
8548,100,ZH,218,Ellikon an der Thur
8352,100,ZH,219,Elsau
8500,0.35,ZH,220,Hagenbuch
8523,99.65,ZH,220,Hagenbuch
8442,100,ZH,221,Hettlingen
8412,18.88,ZH,223,Neftenbach
8413,81.12,ZH,223,Neftenbach
8422,100,ZH,224,Pfungen
8545,100,ZH,225,Rickenbach (ZH)
8354,0.58,ZH,226,Schlatt (ZH)
8405,1.16,ZH,226,Schlatt (ZH)
8418,98.26,ZH,226,Schlatt (ZH)
8472,100,ZH,227,Seuzach
8363,1.24,ZH,228,Turbenthal
8488,85.13,ZH,228,Turbenthal
8492,6.84,ZH,228,Turbenthal
8495,6.78,ZH,228,Turbenthal
8310,0.11,ZH,230,Winterthur
8352,0.26,ZH,230,Winterthur
8400,38.24,ZH,230,Winterthur
8404,17.4,ZH,230,Winterthur
8405,14.75,ZH,230,Winterthur
8406,11.54,ZH,230,Winterthur
8408,13.8,ZH,230,Winterthur
8409,3.05,ZH,230,Winterthur
8482,0.84,ZH,230,Winterthur
8542,0.01,ZH,230,Winterthur
8545,0.02,ZH,230,Winterthur
8483,43.87,ZH,231,Zell (ZH)
