web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe
"1669622809-189","https://www.autolina.ch/elektro-auto","49'650","8640","null","231","silber"
"1669622809-190","https://www.autolina.ch/elektro-auto","42'500","6464","2022","204","weiss"
"1669622809-191","https://www.autolina.ch/elektro-auto","70'200","8807","null","325","weiss"
"1669622809-192","https://www.autolina.ch/elektro-auto","44'900","1184","2019","513","weiss"
"1669622809-193","https://www.autolina.ch/elektro-auto","68'990","1920","null","408","sonstiges"
"1669622809-194","https://www.autolina.ch/elektro-auto","69'470","1920","null","408","sonstiges"
"1669622809-195","https://www.autolina.ch/elektro-auto","68'520","1920","null","408","sonstiges"
"1669622809-196","https://www.autolina.ch/elektro-auto","36'990","1720","null","118","sonstiges"
"1669622809-197","https://www.autolina.ch/elektro-auto","57'310","1716","null","204","weiss"
"1669622809-198","https://www.autolina.ch/elektro-auto","26'450","6440","2020","145","grau"
"1669622809-199","https://www.autolina.ch/elektro-auto","43'899","8580","2017","525","blau"
"1669622809-200","https://www.autolina.ch/elektro-auto","96'699","8580","2021","573","weiss"
"1669622809-201","https://www.autolina.ch/elektro-auto","39'799","8580","2019","476","blau"
"1669622809-202","https://www.autolina.ch/elektro-auto","38'000","2300","null","136","sonstiges"
"1669622809-203","https://www.autolina.ch/elektro-auto","38'800","1530","null","146","grau"
"1669622809-204","https://www.autolina.ch/elektro-auto","38'900","5312","2015","387","schwarz"
"1669622809-205","https://www.autolina.ch/elektro-auto","42'000","1009","2020","489","schwarz"
"1669622809-206","https://www.autolina.ch/elektro-auto","42'000","8962","2022","204","silber"
"1669622809-207","https://www.autolina.ch/elektro-auto","43'500","6234","2017","524","blau"
"1669622809-208","https://www.autolina.ch/elektro-auto","46'900","8610","2020","497","grau"
"1669622809-209","https://www.autolina.ch/elektro-auto","69'700","8640","null","371","schwarz"
"1669622809-210","https://www.autolina.ch/elektro-auto","70'600","8640","null","371","blau"
"1669622809-211","https://www.autolina.ch/elektro-auto","47'800","1217","2014","476","grau"
"1669622809-212","https://www.autolina.ch/elektro-auto","61'600","8640","2021","408","weiss"
"1669622809-213","https://www.autolina.ch/elektro-auto","39'600","1630","2019","489","weiss"
"1669622809-214","https://www.autolina.ch/elektro-auto","54'900","1350","2017","524","rot"
"1669622809-215","https://www.autolina.ch/elektro-auto","69'200","8640","null","269","weiss"
"1669622809-216","https://www.autolina.ch/elektro-auto","47'900","9495","2019","482","grau"
"1669622809-217","https://www.autolina.ch/elektro-auto","73'100","8640","null","371","grau"
"1669622809-218","https://www.autolina.ch/elektro-auto","68'000","4456","2021","346","grau"
"1669622809-219","https://www.autolina.ch/elektro-auto","52'900","1530","null","174","schwarz"
"1669622809-220","https://www.autolina.ch/elektro-auto","37'810","9230","null","136","weiss"
"1669622809-221","https://www.autolina.ch/elektro-auto","123'900","1950","2022","524","schwarz"
"1669622809-222","https://www.autolina.ch/elektro-auto","90'900","1950","2022","544","blau"
"1669622809-223","https://www.autolina.ch/elektro-auto","70'870","6330","null","265","weiss"
"1669622809-224","https://www.autolina.ch/elektro-auto","56'400","6330","null","204","sonstiges"
"1669622809-225","https://www.autolina.ch/elektro-auto","70'870","6330","null","265","schwarz"
"1669622809-226","https://www.autolina.ch/elektro-auto","64'500","6330","null","204","weiss"
"1669622809-227","https://www.autolina.ch/elektro-auto","94'300","1814","null","408","blau"
"1669622809-228","https://www.autolina.ch/elektro-auto","66'900","1814","2022","229","schwarz"
"1669622809-229","https://www.autolina.ch/elektro-auto","67'900","3946","null","299","weiss"
"1669622809-230","https://www.autolina.ch/elektro-auto","68'900","6330","null","204","blau"
"1669622809-231","https://www.autolina.ch/elektro-auto","58'500","6330","null","204","anthrazit"
"1669622809-232","https://www.autolina.ch/elektro-auto","50'380","2802","null","204","schwarz"
"1669622809-233","https://www.autolina.ch/elektro-auto","34'730","1196","2022","136","grau"
"1669622809-234","https://www.autolina.ch/elektro-auto","57'650","1772","null","269","sonstiges"
"1669622809-235","https://www.autolina.ch/elektro-auto","51'900","6950","2021","204","grau"
"1669622809-236","https://www.autolina.ch/elektro-auto","144'900","1020","2021","524","sonstiges"
"1669622809-237","https://www.autolina.ch/elektro-auto","35'480","1868","null","119","grau"
"1669622809-238","https://www.autolina.ch/elektro-auto","31'900","1950","2022","119","anthrazit"
"1669622809-239","https://www.autolina.ch/elektro-auto","70'150","6468","null","325","schwarz"
"1669622809-240","https://www.autolina.ch/elektro-auto","27'500","6430","2019","150","rot"
"1669622809-241","https://www.autolina.ch/elektro-auto","58'650","9542","2022","513","silber"
"1669622809-242","https://www.autolina.ch/elektro-auto","59'900","9542","2022","300","schwarz"
"1669622809-243","https://www.autolina.ch/elektro-auto","44'690","9542","null","204","blau"
"1669622809-244","https://www.autolina.ch/elektro-auto","59'880","9542","null","300","weiss"
"1669622809-245","https://www.autolina.ch/elektro-auto","24'990","9542","null","82","weiss"
"1669622809-246","https://www.autolina.ch/elektro-auto","25'490","9542","null","82","schwarz"
"1669622809-247","https://www.autolina.ch/elektro-auto","28'890","9542","null","119","schwarz"
"1669622809-248","https://www.autolina.ch/elektro-auto","44'690","9542","null","204","rot"
"1669622809-249","https://www.autolina.ch/elektro-auto","43'840","9542","2022","204","grau"
"1669622809-250","https://www.autolina.ch/elektro-auto","44'690","9542","null","204","grau"
"1669622809-251","https://www.autolina.ch/elektro-auto","44'690","9542","null","204","silber"
"1669622809-252","https://www.autolina.ch/elektro-auto","35'850","9542","null","136","rot"
"1669622809-253","https://www.autolina.ch/elektro-auto","35'860","9542","2022","136","schwarz"
"1669622809-254","https://www.autolina.ch/elektro-auto","61'550","9542","null","300","grau"
"1669622809-255","https://www.autolina.ch/elektro-auto","61'550","9542","null","300","weiss"
"1669622809-256","https://www.autolina.ch/elektro-auto","44'660","9542","null","204","schwarz"
"1669622809-257","https://www.autolina.ch/elektro-auto","59'990","9542","null","300","grau"
"1669622809-258","https://www.autolina.ch/elektro-auto","58'990","9542","null","265","schwarz"
"1669622809-259","https://www.autolina.ch/elektro-auto","61'880","9542","2022","228","grau"
"1669622809-260","https://www.autolina.ch/elektro-auto","43'550","9542","2022","204","blau"
"1669622809-261","https://www.autolina.ch/elektro-auto","12'890","9542","2013","88","blau"
"1669622809-262","https://www.autolina.ch/elektro-auto","69'500","9542","2022","300","blau"
"1669622809-263","https://www.autolina.ch/elektro-auto","28'790","9542","null","119","weiss"
"1669622809-264","https://www.autolina.ch/elektro-auto","28'890","9542","null","119","grau"
"1669622809-265","https://www.autolina.ch/elektro-auto","28'890","9542","null","119","grün"
"1669622809-266","https://www.autolina.ch/elektro-auto","28'890","9542","null","119","weiss"
"1669622809-267","https://www.autolina.ch/elektro-auto","64'550","9542","null","325","weiss"
"1669622809-268","https://www.autolina.ch/elektro-auto","34'950","9542","null","136","blau"
"1669622809-269","https://www.autolina.ch/elektro-auto","84'900","9542","2021","503","beige"
"1669622809-270","https://www.autolina.ch/elektro-auto","122'980","9542","2021","646","grün"
"1669622809-271","https://www.autolina.ch/elektro-auto","94'900","9542","2021","530","grau"
"1669622809-272","https://www.autolina.ch/elektro-auto","84'980","9542","2018","772","weiss"
"1669622809-273","https://www.autolina.ch/elektro-auto","51'150","1868","null","231","silber"
"1669622809-274","https://www.autolina.ch/elektro-auto","61'900","1868","2022","184","weiss"
"1669622809-275","https://www.autolina.ch/elektro-auto","49'800","9450","2022","136","weiss"
"1669622809-276","https://www.autolina.ch/elektro-auto","59'540","1401","null","300","blau"
"1669622809-277","https://www.autolina.ch/elektro-auto","66'140","1401","null","371","weiss"
"1669622809-278","https://www.autolina.ch/elektro-auto","37'100","8645","2022","145","weiss"
"1669622809-279","https://www.autolina.ch/elektro-auto","67'500","5036","null","269","weiss"
"1669622809-280","https://www.autolina.ch/elektro-auto","61'300","5001","null","174","sonstiges"
"1669622809-281","https://www.autolina.ch/elektro-auto","64'990","5001","null","204","sonstiges"
"1669622809-282","https://www.autolina.ch/elektro-auto","49'970","6032","2021","204","sonstiges"
"1669622809-283","https://www.autolina.ch/elektro-auto","59'990","5001","null","204","sonstiges"
"1669622809-284","https://www.autolina.ch/elektro-auto","34'900","5610","null","156","bordeaux"
"1669622809-285","https://www.autolina.ch/elektro-auto","69'900","8623","null","299","schwarz"
"1669622809-286","https://www.autolina.ch/elektro-auto","145'200","8623","null","476","schwarz"
"1669622809-287","https://www.autolina.ch/elektro-auto","72'900","8623","2021","265","schwarz"
"1669622809-288","https://www.autolina.ch/elektro-auto","74'900","8623","2021","292","schwarz"
"1669622809-289","https://www.autolina.ch/elektro-auto","136'900","8207","null","524","schwarz"
"1669622809-290","https://www.autolina.ch/elektro-auto","104'900","8207","null","327","schwarz"
"1669622809-291","https://www.autolina.ch/elektro-auto","69'900","5210","2021","408","blau"
"1669622809-292","https://www.autolina.ch/elektro-auto","44'800","8880","null","204","rot"
"1669622809-293","https://www.autolina.ch/elektro-auto","44'800","8880","null","204","weiss"
"1669622809-294","https://www.autolina.ch/elektro-auto","44'800","8880","null","204","grau"
"1669622809-295","https://www.autolina.ch/elektro-auto","21'600","8880","2019","109","schwarz"
"1669622809-296","https://www.autolina.ch/elektro-auto","48'630","3076","null","232","rot"
"1669622809-297","https://www.autolina.ch/elektro-auto","48'050","6010","null","218","grau"
"1669622809-298","https://www.autolina.ch/elektro-auto","49'900","9545","2021","204","weiss"
"1669622809-299","https://www.autolina.ch/elektro-auto","26'900","1024","2020","136","schwarz"
"1669622809-300","https://www.autolina.ch/elektro-auto","61'900","8184","null","299","silber"
"1669622809-301","https://www.autolina.ch/elektro-auto","59'900","8184","null","299","weiss"
"1669622809-302","https://www.autolina.ch/elektro-auto","27'900","4923","null","119","weiss"
"1669622809-303","https://www.autolina.ch/elektro-auto","27'900","4923","null","119","weiss"
"1669622809-304","https://www.autolina.ch/elektro-auto","27'490","4923","null","119","weiss"
"1669622809-305","https://www.autolina.ch/elektro-auto","27'900","4923","null","119","weiss"
"1669622809-306","https://www.autolina.ch/elektro-auto","27'900","4923","null","119","weiss"
"1669622809-307","https://www.autolina.ch/elektro-auto","45'250","9403","null","232","weiss"
"1669622809-308","https://www.autolina.ch/elektro-auto","44'900","9403","null","204","weiss"
"1669622809-309","https://www.autolina.ch/elektro-auto","59'900","7156","null","299","weiss"
"1669622809-310","https://www.autolina.ch/elektro-auto","72'995","9015","null","371","rot"
"1669622809-311","https://www.autolina.ch/elektro-auto","148'220","6010","2022","476","grau"
"1669622809-312","https://www.autolina.ch/elektro-auto","71'290","1753","null","204","schwarz"
"1669622809-313","https://www.autolina.ch/elektro-auto","60'990","1753","null","204","rot"
"1669622809-314","https://www.autolina.ch/elektro-auto","60'490","1753","null","204","grau"
"1669622809-315","https://www.autolina.ch/elektro-auto","66'890","1753","null","204","schwarz"
"1669622809-316","https://www.autolina.ch/elektro-auto","71'790","1753","null","204","rot"
"1669622809-317","https://www.autolina.ch/elektro-auto","38'900","6596","2022","145","weiss"
"1669622809-318","https://www.autolina.ch/elektro-auto","15'555","1228","2019","109","weiss"
"1669622809-319","https://www.autolina.ch/elektro-auto","108'100","5612","null","408","grau"
"1669622809-320","https://www.autolina.ch/elektro-auto","66'790","1213","null","299","sonstiges"
"1669622809-321","https://www.autolina.ch/elektro-auto","67'440","4800","null","242","schwarz"
"1669622809-322","https://www.autolina.ch/elektro-auto","53'800","2504","2022","180","weiss"
"1669622809-323","https://www.autolina.ch/elektro-auto","34'777","8500","null","122","weiss"
"1669622809-324","https://www.autolina.ch/elektro-auto","16'900","6010","2019","109","schwarz"
"1669622809-325","https://www.autolina.ch/elektro-auto","20'000","3000","null","204","sonstiges"
"1669622809-326","https://www.autolina.ch/elektro-auto","33'033","8400","null","122","weiss"
"1669622809-327","https://www.autolina.ch/elektro-auto","69'300","3421","null","204","weiss"
"1669622809-328","https://www.autolina.ch/elektro-auto","75'900","3421","null","204","grau"
"1669622809-329","https://www.autolina.ch/elektro-auto","79'900","7075","2022","601","schwarz"
